Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,76.570000,79.400002,65.889999,67.660004,67.660004,8353600
2022-01-08,67.000000,74.489998,64.760002,67.769997,67.769997,7957700
2022-01-15,66.510002,68.849998,62.209999,62.610001,62.610001,6887600
2022-01-22,59.544998,67.099998,55.349998,59.000000,59.000000,12052200
2022-01-29,60.290001,67.389999,58.910000,61.889999,61.889999,8084700
2022-02-05,61.889999,66.500000,58.980000,59.400002,59.400002,6520800
2022-02-12,59.509998,62.310001,57.389999,58.290001,58.290001,7903100
2022-02-19,57.090000,59.939999,50.542000,59.730000,59.730000,6454400
2022-02-26,59.570000,62.619999,52.430000,53.189999,53.189999,7219100
2022-03-05,54.150002,64.809998,53.700001,61.419998,61.419998,8543300
2022-03-12,60.660000,70.940002,57.570000,67.889999,67.889999,13108800
2022-03-19,68.014999,68.260002,61.549999,62.139999,62.139999,4983700
2022-03-26,62.200001,68.750000,60.560001,66.150002,66.150002,6027100
2022-04-02,66.809998,70.400002,61.009998,61.619999,61.619999,5383600
2022-04-09,60.520000,66.550003,59.134998,62.189999,62.189999,4394000
2022-04-16,61.509998,61.849998,54.779999,55.680000,55.680000,4895100
2022-04-23,55.340000,57.566002,48.380001,49.619999,49.619999,6046700
2022-04-30,49.580002,56.459999,46.580002,48.009998,48.009998,6698500
2022-05-07,46.200001,52.799999,42.511002,52.230000,52.230000,10918400
2022-05-14,52.270000,58.080002,50.480000,56.340000,56.340000,6605500
2022-05-21,55.939999,58.560001,51.459999,58.340000,58.340000,5223200
2022-05-28,57.689999,65.580002,56.419998,64.209999,64.209999,6218800
2022-06-04,65.699997,75.419998,63.110001,63.759998,63.759998,8382400
2022-06-11,59.259998,72.279999,53.360001,70.000000,70.000000,15744100
2022-06-18,71.010002,75.239998,56.340000,66.959999,66.959999,19643900
2022-06-25,67.059998,69.419998,60.410000,63.790001,63.790001,8089200
2022-07-02,63.389999,79.269997,62.040001,76.699997,76.699997,12405900
2022-07-09,76.279999,83.500000,72.410004,83.389999,83.389999,11395400
2022-07-16,84.559998,86.949997,75.099998,75.820000,75.820000,8238400
2022-07-23,75.230003,80.910004,72.709999,75.000000,75.000000,5486500
2022-07-30,74.000000,83.050003,72.900002,81.400002,81.400002,6562900
2022-08-06,81.000000,84.099998,74.570000,78.660004,78.660004,6574700
2022-08-13,78.589996,80.599998,68.209999,68.599998,68.599998,5655600
2022-08-20,67.000000,73.779999,65.169998,67.370003,67.370003,5542800
2022-08-27,66.029999,67.739998,62.759998,63.740002,63.740002,4795700
2022-09-03,63.560001,67.629997,62.099998,66.959999,66.959999,3245900
2022-09-10,67.000000,75.178001,65.400002,70.529999,70.529999,7936900
2022-09-17,69.260002,71.260002,61.779999,63.160000,63.160000,4870100
2022-09-24,63.090000,68.059998,61.040001,65.349998,65.349998,6371300
2022-10-01,66.019997,66.309998,61.259998,61.650002,61.650002,5562000
2022-10-08,61.400002,61.490002,53.980000,54.070000,54.070000,4915200
2022-10-15,54.750000,59.500000,50.200001,50.840000,50.840000,5220800
2022-10-22,50.849998,57.889999,48.490002,54.290001,54.290001,4967600
2022-10-29,53.950001,56.700001,49.709999,51.180000,51.180000,5225900
2022-11-05,50.630001,62.224998,48.494999,60.349998,60.349998,6589700
2022-11-12,60.000000,64.220001,56.145000,57.740002,57.740002,5263600
2022-11-19,57.580002,58.330002,53.340000,54.990002,54.990002,2357000
2022-11-26,54.970001,55.599998,51.459999,54.500000,54.500000,3893300
2022-12-03,54.070000,54.389999,48.990002,48.990002,48.990002,4891400
2022-12-10,49.230000,54.160000,44.840000,46.410000,46.410000,7445700
2022-12-17,46.500000,46.880001,43.582001,44.090000,44.090000,5305000
2022-12-24,43.700001,43.889999,38.939999,40.650002,40.650002,5095700
