Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,36.639999,39.349998,36.250000,37.950001,36.753178,141257300
2022-02-01,37.990002,39.130001,35.919998,38.669998,37.640385,124778000
2022-03-01,38.380001,39.250000,36.509998,37.900002,36.890888,132332800
2022-04-01,37.959999,38.549999,36.580002,37.400002,36.584488,128564000
2022-05-01,37.520000,38.009998,33.560001,34.740002,33.982491,251801100
2022-06-01,34.740002,37.320000,33.349998,35.389999,34.618313,366342600
2022-07-01,35.220001,38.759998,35.040001,38.740002,38.095997,133307900
2022-08-01,38.849998,41.310001,38.049999,38.119999,37.486305,149038600
2022-09-01,38.080002,39.080002,35.709999,35.820000,35.224537,162420700
2022-10-01,35.930000,39.730000,35.810001,38.840000,38.404369,148655000
2022-11-01,38.950001,38.950001,36.200001,38.669998,38.236275,163471100
2022-12-01,38.770000,38.939999,35.380001,35.660000,35.260033,151412000
